EPISODE,AVERAGE SCORE,MAX_SCORE
591,3.32,9.29
592,4.06,9.08
593,3.85,9.12
594,3.59,9.03
595,3.66,7.52
596,3.66,8.77
597,3.99,7.71
598,3.97,7.4
599,4.55,11.87
600,3.87,8.7
601,3.24,7.25
602,3.3,7.21
603,2.61,5.85
604,3.7,9.84
605,3.54,8.99
606,3.56,9.2
607,4.05,15.41
608,3.59,8.98
609,3.45,6.52
610,3.73,6.71
611,3.96,10.15
612,4.64,10.43
613,3.51,9.14
614,3.46,8.65
615,4.52,9.66
616,3.98,9.77
617,3.88,9.31
618,3.76,8.46
619,4.71,8.39
620,4.23,11.19
621,4.05,9.89
622,3.7,8.37
623,3.85,8.34
624,3.69,9.15
625,4.43,10.34
626,3.6,8.9
627,3.17,7.48
628,3.14,8.06
629,3.85,9.24
630,4.7,8.82
631,3.21,7.58
632,3.57,7.87
633,3.77,9.24
634,4.07,8.61
635,4.08,9.24
636,4.35,10.44
637,3.57,6.76
638,4.01,8.3
639,3.54,7.26
640,4.05,7.81
641,3.74,7.46
642,3.29,6.19
643,3.51,12.67
644,3.66,6.86
645,4.02,7.32
646,4.01,8.42
647,4.0,9.2
648,3.14,6.82
649,4.03,8.1
650,3.94,13.13
651,3.39,8.53
652,3.81,8.41
653,3.91,7.59
654,3.51,7.21
655,3.24,6.91
656,3.87,9.36
657,3.02,7.05
658,3.48,8.14
659,3.78,8.6
660,3.21,7.58
661,3.48,7.58
662,3.81,8.19
663,3.62,7.59
664,3.63,8.05
665,4.08,7.27
666,4.15,8.91
667,3.77,8.3
668,3.63,9.21
669,3.59,8.27
670,3.22,8.1
671,3.87,9.95
672,3.55,6.94
673,4.0,8.25
674,3.46,7.89
675,3.56,8.22
676,3.49,7.7
677,3.89,9.06
678,3.47,8.23
679,3.39,8.98
680,3.11,6.23
681,4.1,8.83
682,4.11,9.34
683,4.05,10.62
684,3.55,9.19
685,3.64,9.5
686,4.31,18.11
687,3.58,7.0
688,4.57,8.74
689,3.46,9.53
690,3.45,9.46
691,3.51,7.81
692,3.46,7.87
693,3.73,11.46
694,4.16,15.08
695,3.38,8.13
696,3.4,8.41
697,3.27,8.37
698,3.17,12.9
699,3.63,9.17
700,4.46,8.44
701,3.64,9.43
702,3.32,7.77
703,3.46,8.21
704,3.71,9.51
705,3.75,8.53
706,3.59,8.96
707,3.76,13.38
708,2.96,10.51
709,3.53,8.21
710,3.99,8.29
711,3.32,7.04
712,3.16,7.82
713,3.27,8.47
714,3.7,9.5
715,3.36,9.16
716,3.94,10.86
717,3.75,9.62
718,3.63,8.14
719,4.04,8.59
720,3.59,8.24
721,3.85,8.34
722,3.95,8.72
723,3.74,11.6
724,3.77,9.53
725,4.08,8.28
726,3.68,6.68
727,3.92,8.12
728,3.48,8.14
729,3.26,6.85
730,3.22,9.66
731,4.37,13.22
732,4.04,15.51
733,3.72,7.47
734,3.82,7.25
735,4.07,13.43
736,3.6,7.26
737,3.33,6.11
738,2.97,8.12
739,3.76,7.73
740,3.2,6.98
741,3.42,7.07
742,3.55,9.59
743,3.04,6.79
